buy_date,buy_price,sell_date,sell_price,shares,cost,sell_value,return,profit,hold_days,exit_reason,entry_type,confidence
2024-08-29,117.53968811035156,2024-09-03,107.95378875732422,3.2368136240795637,380.45406384564865,349.4262942207143,-0.08155457537055633,-31.027769624934365,5,Hard Stop,bull_market,1.0
2024-08-30,119.31893157958984,2024-09-03,107.95378875732422,2.3914105172313285,285.34054788423646,258.1618258092343,-0.0952501222715415,-27.178722075002156,4,Hard Stop,bull_market,0.9999998807907104
2024-07-30,103.68561553955078,2024-09-04,106.16455841064452,10.538226563989497,1092.6625079824962,1118.7861695972686,0.023908262088178978,26.123661614772345,36,Trailing Stop,bull_market,1.0
2024-08-13,116.0903091430664,2024-09-04,106.16455841064452,8.219630821147517,954.219483068892,872.6334764256495,-0.08550025239565584,-81.58600664324251,22,Hard Stop,bull_market,1.0
2024-09-12,119.09921264648438,2024-11-25,135.9734344482422,2.937724606309433,349.88068758365677,399.4525041830038,0.14168206008082218,49.57181659934702,74,Trailing Stop,bull_market,1.0
2024-08-12,108.97335052490234,2025-01-27,118.38761901855467,11.675264071109885,1272.292644091856,1382.2067147915766,0.08639055740055457,109.9140706997207,168,Trailing Stop,bull_market,1.0
2024-09-03,107.95378875732422,2025-01-27,118.38761901855467,7.508655309439407,810.5877891267826,888.9318241155602,0.09665089462200616,78.3440349887776,146,Trailing Stop,bull_market,1.0
2024-09-04,106.16455841064452,2025-01-27,118.38761901855467,10.415865425386112,1105.7957533508165,1233.109507729147,0.11513315546070801,127.31375437833049,145,Trailing Stop,bull_market,1.0
2024-09-05,107.16413879394533,2025-01-27,118.38761901855467,7.739033079039401,829.3468150131124,916.2056997333087,0.10473167937447614,86.85888472019633,144,Trailing Stop,bull_market,1.0
2024-09-10,108.05374145507812,2025-01-27,118.38761901855467,5.756488418482266,622.0101112598343,681.4969577720008,0.09563646222997946,59.486846512166494,139,Trailing Stop,bull_market,1.0
2024-09-11,116.85997772216795,2025-01-27,118.38761901855467,3.992021841335511,466.5075834448757,472.60596086577755,0.01307240790357378,6.098377420901841,138,Trailing Stop,bull_market,1.0
2024-09-13,119.05921936035156,2025-01-27,118.38761901855467,2.2040335649565757,262.4105156877426,260.93028599218593,-0.005640893207641384,-1.480229695556659,136,Trailing Stop,bull_market,0.9999992847442627
2024-09-16,116.7400131225586,2025-01-27,118.38761901855467,1.6858648675941958,196.80788676580693,199.58552766150777,0.014113463344109345,2.7776408957008414,133,Trailing Stop,bull_market,0.9999969005584717
2024-09-17,115.55043029785156,2025-01-27,118.38761901855467,1.2774155379073449,147.6059150743552,151.23018403015683,0.024553683732633003,3.6242689558016252,132,Trailing Stop,bull_market,0.9999985694885254
2025-01-10,135.8728485107422,2025-01-27,118.38761901855467,5.965633099150295,810.5675623515174,706.2570985466847,-0.12868817930762022,-104.3104638048327,17,Hard Stop,bull_market,0.9999613761901855
2025-01-14,131.72396850585938,2025-01-27,118.38761901855467,2.7690890822345495,364.7554030581828,327.82586329602304,-0.10124466821474087,-36.92953976215978,13,Hard Stop,bull_market,0.9329378008842468
2025-01-15,136.2027587890625,2025-01-27,118.38761901855467,3.793879254673276,516.7368209990924,449.1483318046579,-0.13079867051810723,-67.58848919443449,12,Hard Stop,bull_market,0.9857621192932129
2025-01-16,133.53347778320312,2025-01-27,118.38761901855467,2.9022880417937316,387.55261574931933,343.5949709739834,-0.11342368233109568,-43.95764477533595,11,Hard Stop,bull_market,0.9999959468841553
2025-01-17,137.67234802246094,2025-01-27,118.38761901855467,2.1112769992458342,290.6644618119895,249.94905702935316,-0.14007699644056337,-40.71540478263634,10,Hard Stop,bull_market,0.9999430179595947
2025-01-21,140.79148864746094,2025-01-27,118.38761901855467,1.5483773092623208,217.99834635899214,183.30870298592242,-0.15912801153061962,-34.689643373069714,6,Hard Stop,bull_market,0.9998584985733032
2025-01-22,147.02981567382812,2025-01-27,118.38761901855467,1.1120109143845407,163.4987597692441,131.64832447663161,-0.19480536327960507,-31.850435292612474,5,Hard Stop,bull_market,0.9999990463256836
2025-01-28,128.95472717285156,2025-02-03,116.62810516357422,13.185632309580878,1700.3496170835388,1537.8153116500207,-0.09558875645368692,-162.53430543351806,6,Hard Stop,bull_market,1.0
2025-02-03,116.62810516357422,2025-02-25,126.59537506103516,7.909372039004443,922.4550739428436,1001.2899197750318,0.08546198948771022,78.8348458321882,22,Trailing Stop,bull_market,1.0
2025-02-10,133.53347778320312,2025-02-27,120.11714935302734,1.6393111052660023,218.90291305479587,196.90937686731274,-0.10047164690758459,-21.99353618748313,17,Hard Stop,bull_market,1.0
2025-02-11,132.76370239257812,2025-02-27,120.11714935302734,1.2366119792714887,164.17718479109692,148.53830580589616,-0.09525610397754136,-15.638878985200762,16,Hard Stop,bull_market,1.0
2025-02-26,131.24411010742188,2025-02-27,120.11714935302734,2.1341264470730046,280.0915264028105,256.3451851813137,-0.08478064840614363,-23.746341221496778,1,Hard Stop,bull_market,1.0
2025-01-30,124.6159210205078,2025-03-03,114.02880859375,7.67515620618083,956.4466596094906,875.1889179617262,-0.08495794389719669,-81.2577416477643,32,Hard Stop,bull_market,1.0
2025-02-05,124.79586029052734,2025-03-03,114.02880859375,4.157838071590546,518.8809790928494,474.11332162920496,-0.08627731458168109,-44.76765746364447,26,Hard Stop,bull_market,1.0
2025-02-06,128.64480590820312,2025-03-03,114.02880859375,3.0250792604664496,389.1607343196371,344.94618397265157,-0.11361513751968066,-44.214550346985504,25,Hard Stop,bull_market,1.0
2025-02-07,129.80447387695312,2025-03-03,114.02880859375,2.24853999266931,291.87055073972783,256.3983364394808,-0.12153406436636005,-35.47221430024706,24,Hard Stop,bull_market,1.0
2025-02-25,126.59537506103516,2025-03-03,114.02880859375,2.949992196452891,373.45536853708063,336.38409552238284,-0.09926560477605495,-37.071273014697795,6,Hard Stop,bull_market,1.0
2025-01-29,123.66617584228516,2025-03-06,110.53976440429688,10.312134293204236,1275.262212812654,1139.9008952762667,-0.10614390999466783,-135.36131753638733,36,Hard Stop,bull_market,1.0
2025-01-27,118.38761901855467,2025-03-10,106.95074462890624,19.150083780489986,2267.132822778052,2048.1157200293437,-0.0966053248174199,-219.0171027487081,42,Hard Stop,bull_market,1.0
2025-01-31,120.03717041015624,2025-03-10,106.95074462890624,5.975940554546967,717.3349947071179,639.131292166877,-0.10901977892793424,-78.2037025402409,38,Hard Stop,bull_market,1.0
2025-02-04,118.6175537109375,2025-03-10,106.95074462890624,5.832537291597671,691.8413054571326,623.7942064122349,-0.09835651399844614,-68.04709904489778,34,Hard Stop,bull_market,1.0
2025-05-07,117.03875732421876,2025-12-17,170.94000244140625,17.47293076987505,2045.0101041182809,2986.822828460963,0.4605418439967812,941.8127243426823,224,Trailing Stop,breakout,1.0
2025-10-13,188.3095245361328,2025-12-17,170.94000244140625,2.92070134462166,549.9958815177486,499.26469498024505,-0.0922392116782903,-50.731186537503504,65,Hard Stop,bull_market,1.0
